COUNT,Taxonomy,ssp,Collection,CATALOG,Country,Distrito,GeoGroup,Old_taxonomy1,Old_taxonomy2,New_Taxonomy,lat,lon,mclust2,mclust3,sex,CIL,GLS,ZB,MB,POC,BBC,CM3,M3M3,CB,SH
5,T. cirrhosus,coffini,ROM,34955,Belize,Belize District,,T. coffini,T. c. coffini,T. coffini,17.7666667,-88.3666667,Cluster1,Cluster1,M,24.53,27.66,13.46,13.03,4.86,10.99,10.03,9.41,5.69,17.49
7,T. cirrhosus,coffini,FMNH,63931,Belize,Belize District,,T. coffini,T. c. coffini,T. coffini,17.54,-88.38,Cluster1,Cluster1,F,24.48,27.5,13.4,12.84,4.97,11.34,9.83,9.52,5.51,16.35
6,T. cirrhosus,coffini,UF,24804,Belize,Orange Walk ,,T. coffini,T. c. coffini,T. coffini,17.55,-89.0333333,Cluster1,Cluster1,M,25.26,28.08,13.95,13.27,5.05,11.36,10.26,9.88,5.91,17
8,T. cirrhosus,coffini,USNM,583009,Belize,Stann Creek,,T. coffini,T. c. coffini,T. coffini,16.7736,-88.5325,Cluster2,Cluster2,M,25.56,28.49,14.4,13.49,5.07,11.88,10.42,9.96,6.12,17.86
10,T. cirrhosus,ehrhardti,AMNH,209351,Bolivia,Beni,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-12.69318,-63.25196,Cluster2,Cluster3,F,26.12,29.12,14.59,13.63,5.16,11.56,10.62,10.16,6.25,17.08
12,T. cirrhosus,ehrhardti,AMNH,210679,Bolivia,Beni,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-15.817929,-64.866132,Cluster2,Cluster3,F,25.86,29.25,14.57,14,5.25,11.67,10.69,10.3,6.44,18.04
13,T. cirrhosus,ehrhardti,AMNH,210680,Bolivia,Beni,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-15.817929,-64.866132,Cluster2,Cluster3,F,26,29,14.72,13.79,5.37,11.65,10.43,10.16,6.26,17.86
14,T. cirrhosus,ehrhardti,AMNH,210681,Bolivia,Beni,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-15.818069,-64.866419,Cluster2,Cluster2,F,25.67,28.56,14.38,13.59,5.25,11.18,10.42,10.09,6.21,17.08
15,T. cirrhosus,ehrhardti,AMNH,210682,Bolivia,Beni,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-15.818069,-64.866419,Cluster2,Cluster3,F,26.44,29.79,14.43,13.59,5.33,11.81,10.66,10.33,6.34,17.69
16,T. cirrhosus,ehrhardti,AMNH,209348,Bolivia,Beni,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-12.69318,-63.25196,Cluster2,Cluster2,F,25.31,28.94,14.41,13.41,5.32,11.89,10.61,10,6.08,17.5
17,T. cirrhosus,ehrhardti,AMNH,209349,Bolivia,Beni,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-12.69318,-63.25196,Cluster2,Cluster2,M,25.5,28.6,14.03,13.07,5.21,11.18,10.66,9.83,6.03,17.01
9,T. cirrhosus,ehrhardti,FMNH,114877,Bolivia,El Beni,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-13.06666667,-64.8,Cluster2,Cluster3,F,26.38,29.79,14.54,13.53,5.34,11.69,10.85,10.18,6.31,17.4
11,T. cirrhosus,ehrhardti,AMNH,261378,Bolivia,Santa Cruz,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-15.433,-63.083,Cluster2,Cluster3,M,26.1,29.33,14.7,14.21,5.27,11.7,10.69,10.3,6.29,18.17
36,T. cirrhosus,cirrhosus,MZUSP,18466,Brazil ,Amapa,EAm,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,0.11,-51.16,Cluster2,Cluster2,M,26.38,30.48,14.64,14.26,5.17,11.76,11.07,10.44,6.29,19.17
18,T. cirrhosus,cirrhosus,UNESP,15331,Brazil ,Amazonas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-3.19,-59.57,Cluster2,Cluster2,F,25.59,28.26,14.22,13.41,5.13,11.04,10.55,10.19,6.28,16.58
19,T. cirrhosus,cirrhosus,UNESP,15333,Brazil ,Amazonas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-3.19,-59.57,Cluster2,Cluster3,M,26.4,29.85,15.02,14.6,5.44,11.84,10.85,10.49,6.34,18.48
20,T. cirrhosus,cirrhosus,MBML,1911,Brazil ,Amazonas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,0.24,-66.18,Cluster2,Cluster3,F,26.46,30.03,14.75,13.82,5.43,11.73,10.66,10.38,6.43,18.23
95,T. cirrhosus,cirrhosus,AMNH,92252,Brazil ,Amazonas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-5.52,-61.22,Cluster2,Cluster2,M,25.54,28.95,14.46,13.51,5.34,11.73,10.56,9.86,6.63,17.72
70,T. cirrhosus,cirrhosus,CMNH,99143,Brazil ,Bahia,EAm,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-9.25,-40.3,Cluster2,Cluster2,M,25.05,28.6,14.18,13.63,5.19,11.45,10.32,9.99,5.84,16.78
45,T. cirrhosus,cirrhosus,CMNH,99144,Brazil ,Ceara,EAm,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-7.22,-39.39,Cluster2,Cluster2,F,24.95,27.91,14.42,12.9,5.3,11.56,10.24,10.29,5.99,17.32
46,T. cirrhosus,cirrhosus,CMNH,99145,Brazil ,Ceara,EAm,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-7.22,-39.39,Cluster2,Cluster3,M,26.18,29.49,14.49,13.95,5.38,12.33,10.42,10.22,6.24,17.82
47,T. cirrhosus,cirrhosus,CMNH,99149,Brazil ,Ceara,EAm,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-7.22,-39.43,Cluster2,Cluster2,M,25.62,28.66,15.21,13.97,5.31,11.8,10.59,10.33,6.29,17.17
48,T. cirrhosus,cirrhosus,CMNH,99150,Brazil ,Ceara,EAm,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-7.22,-39.43,Cluster2,Cluster2,M,25.72,28.77,14.94,13.52,5.36,11.47,10.59,10.29,6.33,17.4
49,T. cirrhosus,cirrhosus,CMNH,99151,Brazil ,Ceara,EAm,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-7.22,-39.43,Cluster2,Cluster3,F,26.38,29.73,15.12,13.83,5.25,12.01,10.86,10.44,6.31,18.04
50,T. cirrhosus,cirrhosus,CMNH,99153,Brazil ,Ceara,EAm,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-7.22,-39.43,Cluster2,Cluster2,F,26.16,29.41,14.44,13.42,5.06,11.75,10.7,10.32,6.01,17.75
51,T. cirrhosus,cirrhosus,MZUSP,18467,Brazil ,Ceara,EAm,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-7.22,-39.43,Cluster2,Cluster2,F,25.05,28.04,14.61,13.85,5.24,11.91,10.21,10.12,6.04,17.31
52,T. cirrhosus,cirrhosus,MZUSP,18468,Brazil ,Ceara,EAm,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-7.22,-39.43,Cluster2,Cluster3,F,26.16,29.52,14.55,14.09,5.55,11.97,10.44,10.25,6.15,17.17
53,T. cirrhosus,cirrhosus,MZUSP,18469,Brazil ,Ceara,EAm,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-7.22,-39.43,Cluster2,Cluster3,M,25.96,29.27,14.48,13.57,5.12,11.86,10.57,10.28,6.12,17.27
